SubmissionDate,intronote,NA_start,NA_end,NA_today,deviceid,vasa_id,5,5n,6,6n,mod5,mod6,nte_vasa,csa_id,csa_notif,vasa_visit,event,id,certificate_1,certificate_2,certificate_3,confirm_id,instanceID,KEY
"Jun 9, 2020 11:37:24 AM",,"Jun 9, 2020 12:43:29 PM","Jun 9, 2020 12:56:05 PM","Jun 9, 2020",865542031175354,4485RY,Y,5,R,0,5,0,,3080LH,"Aug 27, 2019","Aug 27, 2019",1,001BR3080LH,"Aug 27, 2019","Sep 3, 2019","Sep 3, 2019",001BR3080LH,CFAESYC72V8CKGKH3J4RZ9GM5,CFAESYC72V8CKGKH3J4RZ9GM5
"Jun 9, 2020 11:37:25 AM",,"Jun 9, 2020 12:56:30 PM","Jun 9, 2020 12:59:14 PM","Jun 9, 2020",865542031175354,4485RY,Y,5,R,0,5,0,,3080LH,"Aug 27, 2019","Aug 27, 2019",1,003BR3080LH,"Aug 27, 2019","Sep 3, 2019","Sep 3, 2019",003BR3080LH,7NXVD2UK3QREK932D9JKEOKG0,7NXVD2UK3QREK932D9JKEOKG0
"Jun 9, 2020 11:37:27 AM",,"Jun 9, 2020 12:59:34 PM","Jun 9, 2020 1:04:35 PM","Jun 9, 2020",865542031175354,4485RY,Y,5,R,0,5,0,,3080LH,"Aug 27, 2019","Aug 27, 2019",1,004BR3080LH,"Aug 27, 2019","Sep 3, 2019","Sep 3, 2019",004BR3080LH,19P76A0089CBJAUVI70NR1TXN,19P76A0089CBJAUVI70NR1TXN
"Jun 9, 2020 11:37:29 AM",,"Jun 9, 2020 1:08:44 PM","Jun 9, 2020 1:17:30 PM","Jun 9, 2020",865542031175354,4485RY,Y,5,R,0,5,0,,8210BP,"Nov 14, 2019","Nov 14, 2019",1,002BR8210BP,"Nov 14, 2019","Nov 18, 2019","Nov 18, 2019",002BR8210BP,T4MFF91SS05HWV5ZU9VH1YDD1,T4MFF91SS05HWV5ZU9VH1YDD1
"Jun 9, 2020 11:37:31 AM",,"Jun 9, 2020 1:17:40 PM","Jun 9, 2020 1:21:20 PM","Jun 9, 2020",865542031175354,4485RY,Y,5,R,0,5,0,,3080LH,"Jan 22, 2020","Jan 23, 2020",1,007BR3080LH,"Jan 23, 2020","Jan 27, 2020","Jan 27, 2020",007BR3080LH,24Z3I8IQLIDD45PFQU8Q7JHD4,24Z3I8IQLIDD45PFQU8Q7JHD4
"Jun 9, 2020 11:37:32 AM",,"Jun 9, 2020 1:21:50 PM","Jun 9, 2020 1:24:31 PM","Jun 9, 2020",865542031175354,4485RY,Y,5,R,0,5,0,,3080LH,"Jan 9, 2020","Jan 23, 2020",1,006BR3080LH,"Jan 23, 2020","Jan 27, 2020","Jan 27, 2020",006BR3080LH,Z45A4KQ832FH5XR7SNCRGRM50,Z45A4KQ832FH5XR7SNCRGRM50
"Jun 9, 2020 11:37:33 AM",,"Jun 9, 2020 1:25:11 PM","Jun 9, 2020 1:28:48 PM","Jun 9, 2020",865542031175354,4485RY,Y,5,R,0,5,0,,8210BP,"Feb 6, 2020","Feb 6, 2020",1,003BR8210BP,"Feb 6, 2020","Feb 10, 2020","Feb 10, 2020",003BR8210BP,RUV0Q9Y40KDHR1Y4J3VX40M17,RUV0Q9Y40KDHR1Y4J3VX40M17
"Jun 9, 2020 11:37:34 AM",,"Jun 9, 2020 1:28:55 PM","Jun 9, 2020 1:34:55 PM","Jun 9, 2020",865542031175354,4485RY,Y,5,R,0,5,0,,8210BP,"Feb 6, 2020","Feb 6, 2020",1,004BR8210BP,"Feb 6, 2020","Feb 10, 2020","Feb 10, 2020",004BR8210BP,KARNUILN7NMQZYUQS4I5ZWZYY,KARNUILN7NMQZYUQS4I5ZWZYY
"Jun 26, 2020 4:17:26 PM",,"Jun 26, 2020 8:38:14 AM","Jun 26, 2020 8:43:38 AM","Jun 26, 2020",865542031175354,4485RY,Y,5,R,0,5,0,,9769JF,"Jan 9, 2020","Mar 17, 2020",1,022BR9769JF,"Mar 17, 2020","Mar 24, 2020","Mar 24, 2020",022BR9769JF,4BDSWDG5UFOA7ZD7E19MT4T2P,4BDSWDG5UFOA7ZD7E19MT4T2P
"Jun 26, 2020 4:17:27 PM",,"Jun 26, 2020 9:41:07 AM","Jun 26, 2020 9:45:20 AM","Jun 26, 2020",865542031175354,4485RY,Y,5,R,0,5,0,,9769JF,"Aug 27, 2019","Sep 21, 2019",1,003BR9769JF,"Sep 21, 2019","Oct 13, 2019","Oct 13, 2019",003BR9769JF,RCX27FXX7D5OO01UUL99UQIVA,RCX27FXX7D5OO01UUL99UQIVA
"Jun 26, 2020 4:17:27 PM",,"Jun 26, 2020 10:01:15 AM","Jun 26, 2020 10:04:29 AM","Jun 26, 2020",865542031175354,4485RY,Y,5,R,0,5,0,,9769JF,"Sep 25, 2019","Oct 17, 2019",1,011BR9769JF,"Oct 17, 2019","Nov 12, 2019","Nov 12, 2019",011BR9769JF,9AFQOYO81H7LXHI08P6SXM9E9,9AFQOYO81H7LXHI08P6SXM9E9
"Jun 26, 2020 4:17:27 PM",,"Jun 26, 2020 10:06:58 AM","Jun 26, 2020 10:15:26 AM","Jun 26, 2020",865542031175354,2237YZ,Z,11,Y,5,11,5,,5131DE,"Oct 17, 2019","Oct 17, 2019",1,003BR5131DE,"Oct 17, 2019","Nov 5, 2019","Nov 5, 2019",003BR5131DE,O9D1IATTR7CJFDK6W735MX0ZF,O9D1IATTR7CJFDK6W735MX0ZF
"Jun 26, 2020 4:17:28 PM",,"Jun 26, 2020 10:28:58 AM","Jun 26, 2020 10:31:16 AM","Jun 26, 2020",865542031175354,4485RY,Y,5,R,0,5,0,,9769JF,"Aug 26, 2019","Aug 26, 2019",1,002BR9769JF,"Aug 26, 2019","Sep 12, 2019","Sep 12, 2019",002BR9769JF,K501462TMEV9AJC68W7K6A142,K501462TMEV9AJC68W7K6A142
"Jun 26, 2020 4:17:28 PM",,"Jun 26, 2020 10:36:55 AM","Jun 26, 2020 10:40:03 AM","Jun 26, 2020",865542031175354,4485RY,Y,5,R,0,5,0,,9769JF,"Sep 6, 2019","Dec 12, 2019",1,007BR9769JF,"Dec 12, 2019","Jan 13, 2020","Jan 13, 2020",007BR9769JF,VQZAJA5AUAHP855X7HUDA5DDV,VQZAJA5AUAHP855X7HUDA5DDV
"Jun 26, 2020 4:17:29 PM",,"Jun 26, 2020 11:12:39 AM","Jun 26, 2020 11:16:30 AM","Jun 26, 2020",865542031175354,2237YZ,Z,11,Y,5,11,5,,5131DE,"Dec 13, 2019","Dec 13, 2019",1,008BR5131DE,"Dec 13, 2019","Dec 21, 2019","Dec 21, 2019",008BR5131DE,SGXJN4P7DPTZA5L3NNYQ46TY6,SGXJN4P7DPTZA5L3NNYQ46TY6
"Jun 26, 2020 4:17:29 PM",,"Jun 26, 2020 11:21:45 AM","Jun 26, 2020 11:24:27 AM","Jun 26, 2020",865542031175354,2237YZ,Z,11,Y,5,11,5,,5131DE,"Dec 13, 2019","Dec 13, 2019",1,009BR5131DE,"Dec 13, 2019","Dec 21, 2019","Dec 21, 2019",009BR5131DE,Y83C6JS1WCBPGWMMC2YELHDYA,Y83C6JS1WCBPGWMMC2YELHDYA
"Jun 26, 2020 4:17:30 PM",,"Jun 26, 2020 11:26:44 AM","Jun 26, 2020 11:31:32 AM","Jun 26, 2020",865542031175354,2237YZ,Z,11,Y,5,11,5,,9561LF,"Oct 4, 2019","Dec 14, 2019",1,002BR9561LF,"Dec 14, 2019","Dec 22, 2019","Dec 22, 2019",002BR9561LF,LTPYNVBSOILNCJ4W4AM4QXWNW,LTPYNVBSOILNCJ4W4AM4QXWNW
"Jun 30, 2020 4:55:45 PM",,"Jun 29, 2020 7:22:33 AM","Jun 29, 2020 7:27:17 AM","Jun 29, 2020",865542031175354,2237YZ,Z,11,Y,5,11,5,,9561LF,"Mar 10, 2020","Mar 10, 2020",1,010BR9561LF,"Mar 10, 2020","Mar 23, 2020","Mar 23, 2020",010BR9561LF,JFQEXHY7JEZS2T3WOK0ALFY05,JFQEXHY7JEZS2T3WOK0ALFY05
"Jun 30, 2020 4:55:54 PM",,"Jun 30, 2020 5:39:33 PM","Jun 30, 2020 5:43:24 PM","Jun 30, 2020",865542031175354,2237YZ,Z,11,Y,5,11,5,,6819ES,"Oct 8, 2019","Oct 8, 2019",1,001BR6819ES,"Oct 8, 2019","Oct 15, 2019","Oct 15, 2019",001BR6819ES,IUCSQGTCAW7T7596B9N9CPWYP,IUCSQGTCAW7T7596B9N9CPWYP
"Jun 30, 2020 4:56:06 PM",,"Jun 30, 2020 5:44:24 PM","Jun 30, 2020 5:46:28 PM","Jun 30, 2020",865542031175354,2237YZ,Z,11,Y,5,11,5,,6819ES,"Oct 8, 2019","Oct 8, 2019",1,003BR6819ES,"Oct 8, 2019","Oct 15, 2019","Oct 15, 2019",003BR6819ES,KGG7EUW1L7VDOJC0VD2493JWL,KGG7EUW1L7VDOJC0VD2493JWL
"Jun 30, 2020 4:56:19 PM",,"Jun 30, 2020 5:49:32 PM","Jun 30, 2020 5:51:58 PM","Jun 30, 2020",865542031175354,2237YZ,Z,11,Y,5,11,5,,6819ES,"Oct 8, 2019","Oct 8, 2019",1,004BR6819ES,"Oct 8, 2019","Oct 15, 2019","Oct 15, 2019",004BR6819ES,4XSOHSOCXV8UDWUEQ5WJ00SYV,4XSOHSOCXV8UDWUEQ5WJ00SYV
"Jun 30, 2020 4:56:27 PM",,"Jun 30, 2020 6:05:57 PM","Jun 30, 2020 6:08:25 PM","Jun 30, 2020",865542031175354,4485RY,Y,5,R,0,5,0,,9769JF,"Aug 26, 2019","Aug 26, 2019",1,001BR9769JF,"Aug 26, 2019","Sep 4, 2019","Sep 4, 2019",001BR9769JF,NY90RDTDCIDMW225COS5VRMBG,NY90RDTDCIDMW225COS5VRMBG
"Jun 30, 2020 4:56:33 PM",,"Jun 30, 2020 6:10:59 PM","Jun 30, 2020 6:13:37 PM","Jun 30, 2020",865542031175354,4485RY,Y,5,R,0,5,0,,9769JF,"Sep 18, 2019","Sep 22, 2019",1,008BR9769JF,"Sep 22, 2019","Oct 30, 2019","Oct 30, 2019",008BR9769JF,6YALE1YICPVR8M0OXB6JKAJHP,6YALE1YICPVR8M0OXB6JKAJHP
"Jun 30, 2020 4:56:41 PM",,"Jun 30, 2020 6:27:39 PM","Jun 30, 2020 6:30:01 PM","Jun 30, 2020",865542031175354,4485RY,Y,5,R,0,5,0,,9769JF,"Dec 12, 2019","Dec 12, 2019",1,020BR9769JF,"Dec 12, 2019","Jan 13, 2020","Jan 13, 2020",020BR9769JF,BAM2DKJN0MALZWDQ6QHJOZ6Q6,BAM2DKJN0MALZWDQ6QHJOZ6Q6
"Jun 30, 2020 4:56:47 PM",,"Jun 30, 2020 6:32:30 PM","Jun 30, 2020 6:35:03 PM","Jun 30, 2020",865542031175354,2237YZ,Z,11,Y,5,11,5,,8067PS,"Oct 30, 2019","Oct 30, 2019",1,001BR8067PS,"Oct 30, 2019","Dec 8, 2019","Dec 8, 2019",001BR8067PS,U830BW12N1DRCM46FGVTVAH7R,U830BW12N1DRCM46FGVTVAH7R
"Jun 30, 2020 4:56:53 PM",,"Jun 30, 2020 6:46:31 PM","Jun 30, 2020 6:51:31 PM","Jun 30, 2020",865542031175354,2237YZ,Z,11,Y,5,11,5,,8067PS,"Dec 11, 2019","Dec 11, 2019",1,003BR8067PS,"Dec 11, 2019","Jan 13, 2020","Jan 13, 2020",003BR8067PS,9WNORSRY0PFEVKAGFDKJL8JA7,9WNORSRY0PFEVKAGFDKJL8JA7
"Jun 30, 2020 5:14:18 PM",,"Jun 29, 2020 11:57:21 AM","Jun 29, 2020 12:03:47 PM","Jun 29, 2020",865542031159804,7468BD,D,12,B,3,12,3,,5021RG,"Sep 9, 2019","Sep 9, 2019",1,003BR5021RG,"Sep 9, 2019","Sep 9, 2019","Oct 29, 2019",003BR5021RG,B5ADRD543H35GHAXWAKOEV3OR,B5ADRD543H35GHAXWAKOEV3OR
"Jun 30, 2020 5:15:08 PM",,"Jun 29, 2020 12:09:54 PM","Jun 29, 2020 12:12:50 PM","Jun 29, 2020",865542031159804,7468BD,D,12,B,3,12,3,,5021RG,"Oct 29, 2019","Oct 29, 2019",1,001BR5021RG,"Oct 29, 2019","Oct 29, 2019","Dec 11, 2019",001BR5021RG,KK31FWYQ8CEQ7ZDR24Y9OYNPM,KK31FWYQ8CEQ7ZDR24Y9OYNPM
"Jun 30, 2020 5:15:16 PM",,"Jun 29, 2020 12:18:58 PM","Jun 29, 2020 12:21:21 PM","Jun 29, 2020",865542031159804,7468BD,D,12,B,3,12,3,,5021RG,"Oct 29, 2019","Oct 29, 2019",1,002BR5021RG,"Oct 29, 2019","Oct 29, 2019","Dec 11, 2019",002BR5021RG,FX4TK2L5VATS4VYUAOUIMOJB5,FX4TK2L5VATS4VYUAOUIMOJB5
"Jun 30, 2020 5:15:25 PM",,"Jun 29, 2020 12:26:40 PM","Jun 29, 2020 12:31:08 PM","Jun 29, 2020",865542031159804,7468BD,D,12,B,3,12,3,,5021RG,"Dec 7, 2019","Dec 11, 2019",1,009BR5021RG,"Dec 11, 2019","Dec 11, 2019","Jan 19, 2020",009BR5021RG,T4T3ODRCTOXOCUY0LKX3L7UCA,T4T3ODRCTOXOCUY0LKX3L7UCA
"Jun 30, 2020 5:15:32 PM",,"Jun 29, 2020 12:33:52 PM","Jun 29, 2020 12:36:09 PM","Jun 29, 2020",865542031159804,7468BD,D,12,B,3,12,3,,5021RG,"Sep 9, 2019","Sep 9, 2019",1,004BR5021RG,"Sep 9, 2019","Sep 9, 2019","Oct 29, 2019",004BR5021RG,CLKNEYC5TNP1VFCANVEZN4SO8,CLKNEYC5TNP1VFCANVEZN4SO8
"Jul 3, 2020 5:10:38 PM",,"Jul 3, 2020 7:19:29 AM","Jul 3, 2020 3:29:50 PM","Jul 3, 2020",865542031175354,4485RY,Y,5,R,0,5,0,,9769JF,"Sep 21, 2019","Sep 21, 2019",1,004BR9769JF,"Sep 21, 2019","Sep 29, 2019","Sep 29, 2019",004BR9769JF,GJX9YXDC90JIKHW1UGNNGRWFO,GJX9YXDC90JIKHW1UGNNGRWFO
"Jul 7, 2020 4:39:33 AM",,"Jul 3, 2020 7:43:24 PM","Jul 3, 2020 7:47:24 PM","Jul 3, 2020",865542031175354,4485RY,Y,5,R,0,5,0,,9769JF,"Sep 16, 2019","Sep 21, 2019",1,006BR9769JF,"Sep 21, 2019","Sep 29, 2019","Sep 29, 2019",006BR9769JF,RQHSGR44P89JJ234UFS4Z5IQH,RQHSGR44P89JJ234UFS4Z5IQH
"Jul 7, 2020 4:39:37 AM",,"Jul 3, 2020 7:48:49 PM","Jul 3, 2020 7:51:18 PM","Jul 3, 2020",865542031175354,2237YZ,Z,11,Y,5,11,5,,5131DE,"Sep 21, 2019","Sep 21, 2019",1,002BR5131DE,"Sep 21, 2019","Sep 29, 2019","Sep 29, 2019",002BR5131DE,WF4G057LP8P2A2ARDA239KAT8,WF4G057LP8P2A2ARDA239KAT8
"Jul 7, 2020 4:39:39 AM",,"Jul 3, 2020 7:54:31 PM","Jul 3, 2020 7:57:25 PM","Jul 3, 2020",865542031175354,4485RY,Y,5,R,0,5,0,,9769JF,"Sep 18, 2019","Sep 22, 2019",1,009BR9769JF,"Sep 22, 2019","Sep 26, 2019","Sep 29, 2019",009BR9769JF,0EOOIHMO3XE4N6E9BI43T7RMF,0EOOIHMO3XE4N6E9BI43T7RMF
"Jul 7, 2020 4:39:40 AM",,"Jul 3, 2020 8:00:10 PM","Jul 3, 2020 8:03:42 PM","Jul 3, 2020",865542031175354,4485RY,Y,5,R,0,5,0,,9769JF,"Oct 17, 2019","Oct 17, 2019",1,011BR9769JF,"Oct 17, 2019","Oct 24, 2019","Oct 24, 2019",011BR9769JF,DBOGRVS3HSWMPN5YUITY3R2Y9,DBOGRVS3HSWMPN5YUITY3R2Y9
"Jul 7, 2020 4:39:42 AM",,"Jul 3, 2020 8:04:55 PM","Jul 3, 2020 8:08:40 PM","Jul 3, 2020",865542031175354,2237YZ,Z,11,Y,5,11,5,,5131DE,"Oct 17, 2019","Oct 17, 2019",1,003BR5131DE,"Oct 17, 2019","Oct 24, 2019","Oct 24, 2019",003BR5131DE,IA7RQ84FSHVPHC6LQZIY9M7AT,IA7RQ84FSHVPHC6LQZIY9M7AT
"Jul 7, 2020 4:39:43 AM",,"Jul 3, 2020 8:10:14 PM","Jul 3, 2020 8:13:44 PM","Jul 3, 2020",865542031175354,2237YZ,Z,11,Y,5,11,5,,6819ES,"Oct 8, 2019","Oct 8, 2019",1,003BR6819ES,"Oct 8, 2019","Oct 17, 2019","Oct 17, 2019",003BR6819ES,VE2MHOUW7AMODI4BCMNEBKD1Q,VE2MHOUW7AMODI4BCMNEBKD1Q
"Jul 7, 2020 4:39:44 AM",,"Jul 3, 2020 8:15:03 PM","Jul 3, 2020 8:20:23 PM","Jul 3, 2020",865542031175354,4485RY,Y,5,R,0,5,0,,9769JF,"Sep 14, 2019","Sep 21, 2019",1,003BR9769JF,"Sep 21, 2019","Sep 29, 2019","Sep 29, 2019",003BR9769JF,U8BONZRMG335222HGD0GH5IVZ,U8BONZRMG335222HGD0GH5IVZ
"Jul 7, 2020 4:39:45 AM",,"Jul 3, 2020 8:25:56 PM","Jul 3, 2020 8:29:35 PM","Jul 3, 2020",865542031175354,4485RY,Y,5,R,0,5,0,,9769JF,"Aug 18, 2019","Aug 26, 2019",1,001BR9769JF,"Aug 26, 2019","Sep 8, 2019","Sep 8, 2019",001BR9769JF,OUXFIUTZGHHEHWDFY0V3KKIG6,OUXFIUTZGHHEHWDFY0V3KKIG6
"Jul 7, 2020 5:48:49 AM",,"Jul 7, 2020 7:07:26 AM","Jul 7, 2020 7:13:45 AM","Jul 7, 2020",865542031159804,2237YZ,Z,11,Y,5,11,5,,2925PZ,"Nov 25, 2019","Dec 10, 2019",1,010BR2925PZ,"Dec 10, 2019","Dec 10, 2019","Jul 6, 2020",010BR2925PZ,1VX3CZ7GQLPU6IYWHEZRSB5EE,1VX3CZ7GQLPU6IYWHEZRSB5EE
"Jul 7, 2020 5:48:50 AM",,"Jul 7, 2020 7:14:20 AM","Jul 7, 2020 7:24:05 AM","Jul 7, 2020",865542031159804,2237YZ,Z,11,Y,5,11,5,,2925PZ,"Nov 25, 2019","Dec 10, 2019",1,011BR2925PZ,"Dec 10, 2019","Dec 10, 2019","Jul 7, 2020",011BR2925PZ,GKKB6LW72K5QUF462MZKOJ0X4,GKKB6LW72K5QUF462MZKOJ0X4
"Jul 7, 2020 5:48:51 AM",,"Jul 7, 2020 7:24:25 AM","Jul 7, 2020 7:28:23 AM","Jul 7, 2020",865542031159804,2237YZ,Z,11,Y,5,11,5,,3800ZC,"Sep 13, 2019","Sep 13, 2019",1,002BR3800ZC,"Sep 13, 2019","Sep 13, 2019","Sep 13, 2019",002BR3800ZC,4FSWT15B0ECWRYBCZGUE3JPCD,4FSWT15B0ECWRYBCZGUE3JPCD
"Jul 7, 2020 5:48:53 AM",,"Jul 7, 2020 7:29:03 AM","Jul 7, 2020 7:40:00 AM","Jul 7, 2020",865542031159804,7468BD,D,12,B,3,12,3,,8145CR,"Oct 9, 2019","Oct 9, 2019",1,001BR8145CR,"Oct 9, 2019","Oct 9, 2019","Dec 10, 2019",001BR8145CR,B5BF0XIJNPWCA00F4A3LQGH8H,B5BF0XIJNPWCA00F4A3LQGH8H
"Jul 7, 2020 5:48:54 AM",,"Jul 7, 2020 7:40:59 AM","Jul 7, 2020 7:48:22 AM","Jul 7, 2020",865542031159804,2237YZ,Z,11,Y,5,11,5,,2925PZ,"Sep 10, 2019","Oct 12, 2019",1,005BR2925PZ,"Oct 12, 2019","Oct 12, 2019","Dec 10, 2019",005BR2925PZ,CKA7MA69TD9Q1QPHLC6K0Z339,CKA7MA69TD9Q1QPHLC6K0Z339
